cbg,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,year,fips,county,yvar,yvar_cut,city,population,geometry,pop_density,dense,sparse
060014061002,06,001,406100,2,1500000US060014061002,060014061002,2,BG,618298,35844,2019,06001,Alameda,3.0142171988575326,"(3,4]",TRUE,48,"list(list(c(-122.229243, -122.228015, -122.226994, -122.21714, -122.223756, -122.224904, -122.226583, -122.230205, -122.229243, 37.77014, 37.77314, 37.775237, 37.770585, 37.765579, 37.764563, 37.766934, 37.768977, 37.77014)))",0.07337856306428879,FALSE,TRUE
060014081001,06,001,408100,1,1500000US060014081001,060014081001,1,BG,3490909,0,2019,06001,Alameda,3.248889132767535,"(3,4]",TRUE,86,"list(list(c(-122.173601, -122.170754, -122.170615, -122.168388, -122.168411, -122.170519, -122.170248, -122.167528, -122.164805, -122.164802, -122.164146, -122.161632, -122.161732, -122.162292, -122.162322, -122.159697, -122.158064, -122.15667, -122.152262, -122.152291, -122.143317, -122.143244, -122.141799, -122.143706, -122.134634, -122.134337, -122.133676, -122.134654, -122.141806, -122.142502, -122.14452, -122.146613, -122.14636, -122.148763, -122.150916, -122.153697, -122.157819, -122.163663, 
-122.165665, -122.168141, -122.16774, -122.171054, -122.175818, -122.173601, 37.797163, 37.796512, 37.800138, 37.799128, 37.80094, 37.802686, 37.804699, 37.805789, 37.804651, 37.804473, 37.802929, 37.801443, 37.80115, 37.800904, 37.800022, 37.800057, 37.797354, 37.796466, 37.796405, 37.793082, 37.793017, 37.790349, 37.789751, 37.787393, 37.778216, 37.778283, 37.777527, 37.776978, 37.781663, 37.785282, 37.784981, 37.786069, 37.785001, 37.783523, 37.784462, 37.783896, 37.784996, 37.787714, 37.787451, 
37.788577, 37.791988, 37.794897, 37.794814, 37.797163)))",0.024635417308213992,FALSE,TRUE
060014090002,06,001,409000,2,1500000US060014090002,060014090002,2,BG,3906148,1748425,2020,06001,Alameda,12.303098060344828,"(5,Inf]",TRUE,0,"list(list(c(-122.2265, -122.223377, -122.223481, -122.218112, -122.214852, -122.207537, -122.205176, -122.201102, -122.198076, -122.196548, -122.196061, -122.196628, -122.197089, -122.201763, -122.209391, -122.210493, -122.213328, -122.218703, -122.220994, -122.2266, -122.2265, 37.74808, 37.748036, 37.754702, 37.759656, 37.761468, 37.753148, 37.754231, 37.754884, 37.752214, 37.750857, 37.745948, 37.739705, 37.736338, 37.726543, 37.730477, 37.731295, 37.736795, 37.743322, 37.745113, 37.745501, 37.74808
)))",0,FALSE,TRUE
060014090002,06,001,409000,2,1500000US060014090002,060014090002,2,BG,3906148,1748425,2019,06001,Alameda,26.908436301893435,"(5,Inf]",TRUE,0,"list(list(c(-122.2265, -122.223377, -122.223481, -122.218112, -122.214852, -122.207537, -122.205176, -122.201102, -122.198076, -122.196548, -122.196061, -122.196628, -122.197089, -122.201763, -122.209391, -122.210493, -122.213328, -122.218703, -122.220994, -122.2266, -122.2265, 37.74808, 37.748036, 37.754702, 37.759656, 37.761468, 37.753148, 37.754231, 37.754884, 37.752214, 37.750857, 37.745948, 37.739705, 37.736338, 37.726543, 37.730477, 37.731295, 37.736795, 37.743322, 37.745113, 37.745501, 37.74808
)))",0,FALSE,TRUE
060014090004,06,001,409000,4,1500000US060014090004,060014090004,4,BG,10651357,2641017,2020,06001,Alameda,6.972311924136067,"(5,Inf]",TRUE,0,"list(list(c(-122.248369, -122.248487328517, -122.247912, -122.245039, -122.236181, -122.228343, -122.226768, -122.226443, -122.226492, -122.2266, -122.220994, -122.218703, -122.213328, -122.210493, -122.209391, -122.201763, -122.201359, -122.201078, -122.199778, -122.196747, -122.189004, -122.192905, -122.193401, -122.194714, -122.194265, -122.197028, -122.202166, -122.209726, -122.20918711247, -122.21248, -122.211767, -122.213774, -122.226503, -122.227138946265, -122.246705, -122.252172, -122.248369, 
37.727772, 37.7278947076043, 37.728375, 37.725798, 37.719851, 37.727729, 37.727657, 37.734387, 37.745037, 37.745501, 37.745113, 37.743322, 37.736795, 37.731295, 37.730477, 37.726543, 37.726401, 37.726296, 37.725793, 37.724133, 37.717889, 37.716726, 37.717829, 37.717538, 37.715912, 37.715829, 37.712983, 37.711087, 37.7100128175236, 37.708971, 37.702013, 37.698695, 37.706526, 37.7069758402203, 37.720816, 37.724952, 37.727772)))",0,FALSE,TRUE
060014100003,06,001,410000,3,1500000US060014100003,060014100003,3,BG,1556176,0,2020,06001,Alameda,12.555836707152496,"(5,Inf]",TRUE,0,"list(list(c(-122.151206, -122.150562, -122.141828, -122.140094, -122.138522, -122.12952, -122.127378, -122.136359, -122.14215, -122.143607, -122.148647, -122.151677, -122.151206, 37.75364, 37.753371, 37.757477, 37.757216, 37.757941, 37.756046, 37.754464, 37.750414, 37.74737, 37.748562, 37.745129, 37.751124, 37.75364)))",0,FALSE,TRUE
060014100003,06,001,410000,3,1500000US060014100003,060014100003,3,BG,1556176,0,2019,06001,Alameda,58.2037037037037,"(5,Inf]",TRUE,0,"list(list(c(-122.151206, -122.150562, -122.141828, -122.140094, -122.138522, -122.12952, -122.127378, -122.136359, -122.14215, -122.143607, -122.148647, -122.151677, -122.151206, 37.75364, 37.753371, 37.757477, 37.757216, 37.757941, 37.756046, 37.754464, 37.750414, 37.74737, 37.748562, 37.745129, 37.751124, 37.75364)))",0,FALSE,TRUE
060014201001,06,001,420100,1,1500000US060014201001,060014201001,1,BG,273574,0,2019,06001,Alameda,3.1844491927825263,"(3,4]",TRUE,186,"list(list(c(-122.296207, -122.293579, -122.292655, -122.291079, -122.289862, -122.290056, -122.291796, -122.291921, -122.292894, -122.292898, -122.293834, -122.295703, -122.296207, 37.898925, 37.898625, 37.898338, 37.897926, 37.897825, 37.894786, 37.894851, 37.890645, 37.890601, 37.890719, 37.891979, 37.897763, 37.898925)))",0.6798891707545307,TRUE,FALSE
060014220001,06,001,422000,1,1500000US060014220001,060014220001,1,BG,3316851,5864364,2019,06001,Alameda,4.423909715782753,"(4,5]",TRUE,176,"list(list(c(-122.325193, -122.318663, -122.313164, -122.308502, -122.311445, -122.312820832862, -122.308375, -122.308361, -122.307252, -122.303908, -122.297751, -122.296853, -122.295163, -122.293719, -122.289651, -122.288793, -122.288257, -122.286794, -122.286247, -122.287459, -122.28873, -122.292314, -122.293741, -122.295038, -122.298817, -122.301029, -122.30116157341, -122.301372, -122.308352, -122.316944, -122.318722, -122.325193, 37.874276, 37.875307, 37.870151, 37.87088, 37.879775, 37.8812770775089, 
37.882241, 37.882183, 37.877525, 37.866723, 37.867937, 37.865282, 37.860002, 37.860243, 37.861104, 37.858508, 37.856849, 37.852178, 37.850505, 37.850239, 37.849962, 37.849234, 37.84894, 37.848675, 37.847917, 37.847391, 37.8473623994842, 37.855493, 37.862934, 37.858809, 37.866377, 37.874276)))",0.019169576139977117,FALSE,TRUE
060014220001,06,001,422000,1,1500000US060014220001,060014220001,1,BG,3316851,5864364,2020,06001,Alameda,3.3335004313698593,"(3,4]",TRUE,176,"list(list(c(-122.325193, -122.318663, -122.313164, -122.308502, -122.311445, -122.312820832862, -122.308375, -122.308361, -122.307252, -122.303908, -122.297751, -122.296853, -122.295163, -122.293719, -122.289651, -122.288793, -122.288257, -122.286794, -122.286247, -122.287459, -122.28873, -122.292314, -122.293741, -122.295038, -122.298817, -122.301029, -122.30116157341, -122.301372, -122.308352, -122.316944, -122.318722, -122.325193, 37.874276, 37.875307, 37.870151, 37.87088, 37.879775, 37.8812770775089, 
37.882241, 37.882183, 37.877525, 37.866723, 37.867937, 37.865282, 37.860002, 37.860243, 37.861104, 37.858508, 37.856849, 37.852178, 37.850505, 37.850239, 37.849962, 37.849234, 37.84894, 37.848675, 37.847917, 37.847391, 37.8473623994842, 37.855493, 37.862934, 37.858809, 37.866377, 37.874276)))",0.019169576139977117,FALSE,TRUE
