"","estimate","p.value","type"
"34",-1.89502134619335e-06,1.71157655269015e-236,"income"
"35",-1.89502134619335e-06,1.71157655269015e-236,"income"
"36",-1.89502134619335e-06,1.71157655269015e-236,"income"
"37",-1.89502134619335e-06,1.71157655269015e-236,"income"
"38",-1.89502134619335e-06,1.71157655269015e-236,"income"
"39",-1.89502134619335e-06,1.71157655269015e-236,"income"
"40",-1.89502134619335e-06,1.71157655269015e-236,"income"
"41",-1.89502134619335e-06,1.71157655269015e-236,"income"
"42",-1.89502134619335e-06,1.71157655269015e-236,"income"
"43",-1.89502134619335e-06,1.71157655269015e-236,"income"
"44",-1.89502134619335e-06,1.71157655269015e-236,"income"
"45",-1.89502134619335e-06,1.71157655269015e-236,"income"
"46",-1.89502134619335e-06,1.71157655269015e-236,"income"
"47",-1.89502134619335e-06,1.71157655269015e-236,"income"
"48",-1.89502134619335e-06,1.71157655269015e-236,"income"
"49",-1.89502134619335e-06,1.71157655269015e-236,"income"
"50",-1.89502134619335e-06,1.71157655269015e-236,"income"
"51",-1.89502134619335e-06,1.71157655269015e-236,"income"
"52",-1.89502134619335e-06,1.71157655269015e-236,"income"
"53",-1.89502134619335e-06,1.71157655269015e-236,"income"
"54",-1.89502134619335e-06,1.71157655269015e-236,"income"
"55",-1.89502134619335e-06,1.71157655269015e-236,"income"
"56",-1.89502134619335e-06,1.71157655269015e-236,"income"
"57",-1.89502134619335e-06,1.71157655269015e-236,"income"
"58",-1.89502134619335e-06,1.71157655269015e-236,"income"
"59",-1.89502134619335e-06,1.71157655269015e-236,"income"
"60",-1.89502134619335e-06,1.71157655269015e-236,"income"
"61",-1.89502134619335e-06,1.71157655269015e-236,"income"
"62",-1.89502134619335e-06,1.71157655269015e-236,"income"
"63",-1.89502134619335e-06,1.71157655269015e-236,"income"
"64",-1.89502134619335e-06,1.71157655269015e-236,"income"
"65",-1.89502134619335e-06,1.71157655269015e-236,"income"
"66",-1.89502134619335e-06,1.71157655269015e-236,"income"
"67",-1.89502134619335e-06,1.71157655269015e-236,"income"
"68",-1.89502134619335e-06,1.71157655269015e-236,"income"
"69",-1.89502134619335e-06,1.71157655269015e-236,"income"
"70",-1.89502134619335e-06,1.71157655269015e-236,"income"
"71",-1.89502134619335e-06,1.71157655269015e-236,"income"
"72",-1.89502134619335e-06,1.71157655269015e-236,"income"
"73",-1.89502134619335e-06,1.71157655269015e-236,"income"
"74",-1.89502134619335e-06,1.71157655269015e-236,"income"
"75",-1.89502134619335e-06,1.71157655269015e-236,"income"
"76",-1.89502134619335e-06,1.71157655269015e-236,"income"
"77",-1.89502134619335e-06,1.71157655269015e-236,"income"
"78",-1.89502134619335e-06,1.71157655269015e-236,"income"
"79",-1.89502134619335e-06,1.71157655269015e-236,"income"
"80",-1.89502134619335e-06,1.71157655269015e-236,"income"
"81",-1.89502134619335e-06,1.71157655269015e-236,"income"
"82",-1.89502134619335e-06,1.71157655269015e-236,"income"
"83",-1.89502134619335e-06,1.71157655269015e-236,"income"
"84",-1.89502134619335e-06,1.71157655269015e-236,"income"
"85",-1.89502134619335e-06,1.71157655269015e-236,"income"
"86",-1.89502134619335e-06,1.71157655269015e-236,"income"
"87",-1.89502134619335e-06,1.71157655269015e-236,"income"
"88",-1.89502134619335e-06,1.71157655269015e-236,"income"
"89",-1.89502134619335e-06,1.71157655269015e-236,"income"
"90",-1.89502134619335e-06,1.71157655269015e-236,"income"
"91",-1.89502134619335e-06,1.71157655269015e-236,"income"
"92",-1.89502134619335e-06,1.71157655269015e-236,"income"
"93",-1.89502134619335e-06,1.71157655269015e-236,"income"
"94",-1.89502134619335e-06,1.71157655269015e-236,"income"
"95",-1.89502134619335e-06,1.71157655269015e-236,"income"
"96",-1.89502134619335e-06,1.71157655269015e-236,"income"
"97",-1.89502134619335e-06,1.71157655269015e-236,"income"
"98",-1.89502134619335e-06,1.71157655269015e-236,"income"
"99",-1.89502134619335e-06,1.71157655269015e-236,"income"
"100",-1.89502134619335e-06,1.71157655269015e-236,"income"
"101",0.763780212908946,0,"white"
"102",0.763780212908946,0,"white"
"103",0.763780212908946,0,"white"
"104",0.763780212908946,0,"white"
"105",0.763780212908946,0,"white"
"106",0.763780212908946,0,"white"
"107",0.763780212908946,0,"white"
"108",0.763780212908946,0,"white"
"109",0.763780212908946,0,"white"
"110",0.763780212908946,0,"white"
"111",0.763780212908946,0,"white"
