"","year","quant","group","Value","Std. Error","t value","Pr(>|t|)"
"mean_high_c",2021,0.95,2,-0.0749475890985331,0.0634033638633306,-1.18207591098931,0.237198524465519
"(Intercept)",2020,0.25,3,-0.463772095959599,0.0515827227588023,-8.99084172288015,0
"mean_high_c",2020,0.25,3,0.0207702020202021,0.001396839231756,14.8694291712378,0
"(Intercept)",2021,0.25,3,0.926765211278604,0.157445213043964,5.88627112479957,4.05710443018847e-09
"mean_high_c",2021,0.25,3,-0.0130828712020619,0.00435196100785775,-3.00620138333959,0.00265088258065926
"(Intercept)",2020,0.5,3,-0.109385079864788,0.0840964376361653,-1.30071002933598,0.193375504297003
"mean_high_c",2020,0.5,3,0.0191349950078307,0.00228851537468309,8.36131372308586,0
"(Intercept)",2021,0.5,3,1.69575817380013,0.168441513152544,10.0673411326127,0
"mean_high_c",2021,0.5,3,-0.0213746641124211,0.00462385211788773,-4.62269630763744,3.82788008845836e-06
"(Intercept)",2020,0.75,3,0.535606195478015,0.188013362745199,2.84876663901748,0.0043942185747512
"mean_high_c",2020,0.75,3,0.0154293513738057,0.00508980823029521,3.03142096434363,0.00243775034177984
"(Intercept)",2021,0.75,3,3.76363873208858,0.384044862162406,9.79999761198993,0
"mean_high_c",2021,0.75,3,-0.057490230134607,0.0105574265136217,-5.44547765124674,5.26979730963717e-08
"(Intercept)",2020,0.95,3,2.72975757575755,1.23567482799715,2.20912291317133,0.0271794868292741
"mean_high_c",2020,0.95,3,0.0225032938076423,0.0344008826281642,0.654148733649605,0.51302490854241
"(Intercept)",2021,0.95,3,8.27578098827476,3.2251144900101,2.56604254326762,0.0102988090603406
"mean_high_c",2021,0.95,3,-0.0637772194304873,0.0879074424246941,-0.725504208419236,0.468157100648096
"(Intercept)",2020,0.25,4,-0.542875294668381,0.0766961766812691,-7.07825758935077,1.51834100847736e-12
"mean_high_c",2020,0.25,4,0.023573470650193,0.00209950189759468,11.228125431656,0
"(Intercept)",2021,0.25,4,0.956936722691771,0.201284264910207,4.75415563714661,2.01743119943032e-06
"mean_high_c",2021,0.25,4,-0.0138188128675642,0.0056181586981281,-2.45966937035233,0.0139214060182378
"(Intercept)",2020,0.5,4,-0.0131444080231749,0.095995459228584,-0.136927393533016,0.891089854058892
"mean_high_c",2020,0.5,4,0.0180978852832979,0.00261021045222029,6.93349659522799,4.25748325483255e-12
"(Intercept)",2021,0.5,4,2.22027972027971,0.155014037718286,14.323088108412,0
"mean_high_c",2021,0.5,4,-0.0349650349650346,0.0042944575920567,-8.14189783354902,4.44089209850063e-16
"(Intercept)",2020,0.75,4,0.719627649039414,0.200440254450368,3.59023516016142,0.000331336981122643
"mean_high_c",2020,0.75,4,0.0120981052353601,0.0055343719076594,2.18599426226068,0.0288300083409698
"(Intercept)",2021,0.75,4,4.93023677764671,0.451041413266591,10.9307851399726,0
"mean_high_c",2021,0.75,4,-0.086183434636668,0.0125009345592394,-6.8941593309094,5.70787861420285e-12
"(Intercept)",2020,0.95,4,2.33533501896334,0.742714925448149,3.14432218735098,0.00166766843932642
"mean_high_c",2020,0.95,4,0.0189633375474083,0.0204403664182438,0.927739608937872,0.353556207752482
